id,comida_preferida,frecuencia_consumo,gasto_promedio,satisfaccion_producto,satisfaccion_servicio,tiempo_entrega,precio_percepcion,recomendaria,volveria_comprar,calificacion_general
1,Hamburguesas,Quincenal,20,1,7,Aceptable,Bajo,6,True,9
2,Hot Dogs,Diario,43,5,3,Lento,Alto,9,True,3
3,Pizza,Quincenal,74,0,0,Rápido,Bajo,6,False,0
4,Tacos,Semanal,94,2,6,Rápido,Bajo,10,False,4
5,Pollo Frito,Diario,74,0,2,Aceptable,Alto,10,True,5
6,Tacos,Semanal,99,9,5,Lento,Bajo,8,False,1
7,Hamburguesas,Diario,69,6,0,Lento,Bajo,0,False,4
8,Hamburguesas,Semanal,41,10,7,Rápido,Medio,3,True,2
9,Hamburguesas,Semanal,116,6,3,Rápido,Medio,1,False,4
10,Tacos,Quincenal,59,1,0,Rápido,Alto,0,True,0
11,Hamburguesas,Diario,61,7,5,Aceptable,Medio,5,True,0
12,Pizza,Quincenal,101,5,2,Lento,Medio,0,False,8
13,Pollo Frito,Semanal,116,8,10,Lento,Bajo,0,False,10
14,Pollo Frito,Diario,118,7,2,Lento,Bajo,8,False,4
15,Pizza,Diario,81,10,9,Rápido,Bajo,6,False,8
16,Hot Dogs,Quincenal,51,2,6,Rápido,Alto,3,False,6
17,Pizza,Diario,47,0,5,Lento,Bajo,9,False,3
18,Hamburguesas,Mensual,120,1,7,Lento,Alto,2,True,2
19,Tacos,Diario,28,10,6,Rápido,Medio,5,False,0
20,Tacos,Quincenal,27,2,6,Aceptable,Alto,7,False,5
21,Tacos,Mensual,20,0,4,Lento,Medio,3,False,4
22,Tacos,Semanal,58,1,1,Lento,Bajo,4,False,9
23,Hamburguesas,Diario,115,7,8,Rápido,Bajo,9,True,9
24,Pollo Frito,Mensual,107,1,1,Rápido,Alto,3,False,0
25,Pollo Frito,Semanal,99,1,3,Rápido,Medio,9,True,0
26,Tacos,Quincenal,115,7,2,Lento,Alto,2,True,4
27,Tacos,Quincenal,65,7,0,Lento,Bajo,8,True,10
28,Hamburguesas,Semanal,42,7,6,Aceptable,Medio,0,True,9
29,Hamburguesas,Quincenal,114,5,4,Rápido,Alto,5,False,4
30,Hot Dogs,Semanal,110,0,1,Rápido,Alto,2,True,9
31,Pizza,Diario,89,1,6,Rápido,Medio,3,True,0
32,Hamburguesas,Diario,57,8,10,Rápido,Medio,1,False,7
33,Hot Dogs,Semanal,96,0,7,Lento,Bajo,1,False,4
34,Tacos,Mensual,67,10,0,Rápido,Medio,6,True,1
35,Hamburguesas,Quincenal,22,9,1,Lento,Bajo,7,False,1
36,Pizza,Diario,102,0,4,Rápido,Bajo,4,False,2
37,Pollo Frito,Quincenal,47,5,4,Rápido,Medio,1,False,2
38,Tacos,Mensual,116,5,0,Rápido,Medio,8,False,8
39,Tacos,Diario,111,7,9,Lento,Alto,7,True,1
40,Hamburguesas,Quincenal,44,5,5,Aceptable,Alto,6,True,7
41,Pollo Frito,Quincenal,61,4,1,Aceptable,Bajo,10,True,10
42,Hamburguesas,Mensual,119,1,9,Rápido,Alto,9,False,0
43,Pizza,Mensual,41,1,3,Rápido,Alto,1,True,1
44,Pizza,Diario,32,3,2,Rápido,Alto,7,True,2
45,Hamburguesas,Diario,103,2,2,Aceptable,Medio,3,False,3
46,Hot Dogs,Quincenal,34,1,10,Lento,Medio,7,True,9
47,Hot Dogs,Quincenal,95,8,5,Aceptable,Bajo,9,True,5
48,Tacos,Mensual,25,4,2,Aceptable,Bajo,2,False,2
49,Pizza,Diario,55,0,9,Lento,Bajo,0,False,1
50,Hamburguesas,Mensual,27,0,5,Lento,Bajo,1,False,9
51,Hot Dogs,Mensual,78,5,1,Rápido,Bajo,6,True,1
52,Pizza,Semanal,37,4,7,Rápido,Medio,1,True,0
53,Hamburguesas,Semanal,48,8,1,Lento,Bajo,8,False,5
54,Pizza,Mensual,72,0,9,Lento,Bajo,1,True,9
55,Pizza,Quincenal,102,1,8,Aceptable,Alto,5,False,4
56,Pizza,Diario,110,1,9,Rápido,Medio,3,False,0
57,Pizza,Quincenal,98,4,0,Aceptable,Alto,8,False,7
58,Hamburguesas,Semanal,40,3,4,Lento,Alto,5,True,2
59,Hamburguesas,Quincenal,100,6,2,Lento,Bajo,9,True,3
60,Pizza,Mensual,84,8,8,Rápido,Medio,3,True,9
61,Hot Dogs,Diario,98,4,2,Rápido,Alto,2,True,6
62,Pollo Frito,Quincenal,119,7,8,Aceptable,Medio,8,False,4
63,Tacos,Mensual,29,3,7,Aceptable,Alto,9,False,4
64,Pollo Frito,Mensual,40,0,8,Lento,Bajo,5,False,10
65,Hot Dogs,Quincenal,95,10,7,Aceptable,Medio,6,False,1
66,Tacos,Mensual,85,10,5,Lento,Medio,2,False,7
67,Hot Dogs,Diario,61,10,7,Lento,Bajo,3,True,10
68,Tacos,Semanal,43,1,6,Aceptable,Alto,6,False,10
69,Hot Dogs,Mensual,46,6,1,Rápido,Alto,1,True,3
70,Pollo Frito,Mensual,69,0,6,Rápido,Alto,2,False,1
71,Pizza,Semanal,98,7,9,Lento,Bajo,1,True,6
72,Tacos,Mensual,35,3,4,Aceptable,Medio,6,False,9
73,Pollo Frito,Mensual,77,5,3,Aceptable,Medio,0,False,9
74,Hamburguesas,Quincenal,107,10,0,Lento,Medio,3,False,0
75,Hot Dogs,Mensual,114,5,6,Rápido,Alto,7,True,9
76,Pizza,Diario,24,10,2,Rápido,Alto,1,True,1
77,Pizza,Mensual,107,2,7,Aceptable,Medio,4,True,5
78,Pizza,Semanal,20,0,10,Aceptable,Medio,10,True,5
79,Pollo Frito,Diario,116,8,4,Lento,Medio,3,True,10
80,Pizza,Diario,103,1,6,Aceptable,Bajo,1,True,9
81,Pollo Frito,Quincenal,90,5,8,Aceptable,Medio,5,False,6
82,Pollo Frito,Mensual,94,4,4,Lento,Alto,2,True,8
83,Hot Dogs,Mensual,23,6,5,Lento,Medio,10,False,2
84,Pizza,Semanal,68,8,4,Rápido,Alto,10,True,10
85,Hamburguesas,Diario,113,1,0,Aceptable,Bajo,6,False,0
86,Pizza,Mensual,78,9,1,Lento,Alto,7,True,0
87,Hot Dogs,Mensual,34,5,6,Rápido,Medio,1,True,1
88,Hot Dogs,Diario,72,10,10,Aceptable,Medio,0,True,6
89,Tacos,Mensual,99,1,8,Aceptable,Bajo,9,False,0
90,Pollo Frito,Diario,30,2,5,Rápido,Alto,3,False,8
91,Tacos,Semanal,85,2,10,Rápido,Medio,0,True,8
92,Hamburguesas,Mensual,50,9,7,Aceptable,Medio,10,False,2
93,Hamburguesas,Quincenal,95,4,10,Rápido,Alto,10,False,9
94,Hamburguesas,Semanal,100,8,5,Rápido,Medio,2,True,7
95,Hot Dogs,Diario,74,5,1,Aceptable,Alto,5,False,8
96,Pizza,Mensual,83,10,6,Aceptable,Alto,2,True,9
97,Pizza,Diario,113,6,7,Rápido,Bajo,7,True,6
98,Hamburguesas,Diario,104,4,0,Rápido,Alto,3,True,1
99,Hamburguesas,Diario,56,4,7,Rápido,Bajo,6,True,1
100,Pollo Frito,Quincenal,55,4,3,Aceptable,Alto,10,False,9
101,Pizza,Mensual,29,3,3,Lento,Alto,9,False,0
102,Hot Dogs,Diario,27,4,4,Rápido,Bajo,2,False,8
103,Hamburguesas,Quincenal,107,3,10,Aceptable,Medio,8,False,9
104,Pollo Frito,Semanal,21,7,8,Aceptable,Bajo,7,False,4
105,Tacos,Diario,20,7,2,Lento,Medio,3,False,2
106,Pollo Frito,Diario,71,10,5,Aceptable,Bajo,5,True,9
107,Hamburguesas,Quincenal,54,5,7,Rápido,Alto,8,True,2
108,Hamburguesas,Mensual,24,7,0,Rápido,Alto,2,True,7
109,Pizza,Semanal,62,10,0,Lento,Bajo,1,True,2
110,Hamburguesas,Quincenal,54,8,0,Aceptable,Alto,8,True,10
111,Hamburguesas,Quincenal,107,1,8,Aceptable,Alto,6,False,4
112,Hot Dogs,Mensual,90,5,10,Rápido,Alto,6,True,6
113,Pizza,Semanal,43,4,6,Lento,Medio,2,True,4
114,Hamburguesas,Quincenal,21,7,8,Lento,Bajo,9,False,8
115,Hot Dogs,Semanal,87,0,2,Lento,Alto,6,False,2
116,Pizza,Diario,66,9,9,Lento,Alto,6,True,5
117,Pizza,Mensual,119,1,0,Rápido,Alto,6,True,3
118,Hamburguesas,Diario,28,4,6,Rápido,Alto,9,False,8
119,Pizza,Diario,84,5,10,Lento,Alto,10,False,2
120,Pizza,Diario,73,9,8,Rápido,Alto,10,True,4
121,Hamburguesas,Semanal,36,0,10,Rápido,Alto,8,False,8
122,Hot Dogs,Quincenal,35,4,6,Aceptable,Alto,0,True,0
123,Tacos,Quincenal,79,5,4,Lento,Medio,7,True,2
124,Hot Dogs,Semanal,45,7,0,Lento,Medio,4,True,3
125,Pollo Frito,Mensual,42,1,8,Rápido,Bajo,6,True,1
126,Pizza,Quincenal,109,2,7,Aceptable,Bajo,2,False,7
127,Pollo Frito,Quincenal,107,1,2,Rápido,Alto,8,False,10
128,Hamburguesas,Diario,89,10,4,Lento,Alto,8,True,10
129,Pollo Frito,Mensual,76,5,9,Lento,Medio,10,True,7
130,Hot Dogs,Quincenal,111,9,6,Aceptable,Medio,9,False,8
131,Hot Dogs,Diario,115,4,8,Rápido,Bajo,0,True,6
132,Hamburguesas,Semanal,65,10,7,Aceptable,Alto,5,False,4
133,Hamburguesas,Quincenal,40,7,10,Lento,Medio,10,True,9
134,Pollo Frito,Semanal,58,6,1,Rápido,Alto,6,True,1
135,Pizza,Mensual,41,4,1,Lento,Bajo,1,True,3
136,Pollo Frito,Mensual,68,10,0,Aceptable,Alto,4,False,7
137,Hamburguesas,Semanal,36,1,1,Aceptable,Medio,5,False,2
138,Pizza,Mensual,39,6,3,Aceptable,Bajo,9,True,2
139,Hot Dogs,Quincenal,91,6,6,Rápido,Alto,1,False,7
140,Pizza,Semanal,118,4,2,Lento,Bajo,5,True,9
141,Pizza,Quincenal,103,2,2,Rápido,Bajo,4,False,4
142,Pizza,Semanal,117,2,3,Aceptable,Medio,7,True,1
143,Pizza,Mensual,75,2,4,Rápido,Alto,0,False,0
144,Tacos,Quincenal,62,3,9,Rápido,Medio,7,False,8
145,Hot Dogs,Diario,82,6,9,Aceptable,Medio,9,False,3
146,Hamburguesas,Semanal,47,10,0,Aceptable,Bajo,7,False,9
147,Hamburguesas,Quincenal,72,10,5,Lento,Alto,10,False,2
148,Pollo Frito,Semanal,31,1,10,Lento,Alto,0,False,6
149,Tacos,Semanal,118,2,2,Aceptable,Alto,10,False,8
150,Pollo Frito,Diario,63,9,8,Lento,Medio,10,True,7
151,Tacos,Mensual,104,0,4,Aceptable,Alto,9,False,5
152,Pollo Frito,Semanal,42,4,9,Rápido,Bajo,4,True,7
153,Hamburguesas,Diario,64,1,1,Aceptable,Alto,6,False,9
154,Tacos,Mensual,48,8,10,Lento,Bajo,2,False,0
155,Tacos,Semanal,115,1,5,Rápido,Medio,4,True,8
156,Tacos,Diario,114,7,5,Aceptable,Bajo,5,True,2
157,Pollo Frito,Quincenal,71,2,3,Rápido,Bajo,6,False,3
158,Pollo Frito,Quincenal,55,8,2,Lento,Alto,2,False,3
159,Pizza,Mensual,113,10,4,Rápido,Medio,5,True,8
160,Hot Dogs,Mensual,70,6,3,Aceptable,Bajo,4,False,1
161,Pizza,Mensual,23,2,4,Lento,Alto,0,False,7
162,Pollo Frito,Diario,108,4,8,Aceptable,Bajo,4,True,3
163,Hot Dogs,Semanal,96,4,0,Rápido,Medio,4,False,7
164,Hamburguesas,Mensual,30,9,3,Rápido,Bajo,9,True,3
165,Hamburguesas,Mensual,87,7,4,Aceptable,Alto,7,False,5
